SerialNo,Title,Ministry,Introduced,Passed_LS,Passed_RS
71,"The  National Nursing and Midwifery Commission Bill, 2023",HEALTH AND FAMILY WELFARE,24/07/2023,28/07/2023,08/08/2023
72,"The National Dental Commission Bill, 2023",HEALTH AND FAMILY WELFARE,24/07/2023,28/07/2023,08/08/2023
73,"The Constitution (Scheduled Castes) Order (Amendment) Bill, 2023",SOCIAL JUSTICE AND EMPOWERMENT,24/07/2023,01/08/2023,09/08/2023
74,"The Cinematograph (Amendment) Bill, 2023",INFORMATION AND BROADCASTING,20/07/2023,31/07/2023,27/07/2023
75,"The Coastal Aquaculture Authority (Amendment) Bill, 2023","FISHERIES, ANIMAL HUSBANDRY AND DAIRYING",05/04/2023,07/08/2023,09/08/2023
76,"The Forest (Conservation) Amendment Bill, 2023","ENVIRONMENT, FORESTS & CLIMATE CHANGE",29/03/2023,26/07/2023,02/08/2023
77,"The Appropriation Bill, 2023",FINANCE,23/03/2023,23/03/2023,27/03/2023
78,"The Appropriation (No.2) Bill, 2023",FINANCE,21/03/2023,21/03/2023,27/03/2023
79,"The Jammu and Kashmir Appropriation (No.2) Bill,2023",FINANCE,21/03/2023,21/03/2023,27/03/2023
80,"The Jammu and Kashmir Appropriation Bill,2023",FINANCE,21/03/2023,21/03/2023,27/03/2023
81,"The Inter-Services Organisations (Command, Control and Discipline) Bill, 2023",DEFENCE,15/03/2023,04/08/2023,08/08/2023
82,"The Finance Bill, 2023",FINANCE,01/02/2023,24/03/2023,27/03/2023
83,"Jan Vishwas (Amendment of Provisions) Bill, 2022",COMMERCE AND INDUSTRY,22/12/2022,27/07/2023,02/08/2023
84,"The Repealing and Amending Bill, 2022",LAW  AND JUSTICE,19/12/2022,27/07/2023,13/12/2023
85,"The Appropriation (No.4) Bill, 2022",FINANCE,14/12/2022,14/12/2022,21/12/2022
86,"The Appropriation (No.5) Bill, 2022",FINANCE,14/12/2022,14/12/2022,21/12/2022
87,"The Constitution (Scheduled Tribes) Order (Fifth Amendment) Bill, 2022",TRIBAL AFFAIRS,09/12/2022,21/12/2022,25/07/2023
88,"The Constitution (Scheduled Tribes) Order (Second Amendment) Bill, 2022",TRIBAL AFFAIRS,09/12/2022,15/12/2022,22/12/2022
89,"The Constitution (Scheduled Tribes) Order (Third Amendment) Bill, 2022",TRIBAL AFFAIRS,09/12/2022,16/12/2022,26/07/2023
90,"The Constitution (Scheduled Tribes) Order (Fourth Amendment) Bill, 2022",TRIBAL AFFAIRS,09/12/2022,19/12/2022,22/12/2022
91,"The Multi-State Cooperative Societies Bill, 2023",COOPERATION,07/12/2022,25/07/2023,01/08/2023
92,"The New Delhi International Arbitration Centre (Amendment) Bill, 2022",LAW  AND JUSTICE,05/08/2022,08/08/2022,14/12/2022
93,"The Competition (Amendment) Bill, 2023",CORPORATE AFFAIRS,05/08/2022,29/03/2023,03/04/2023
94,"The Energy Conservation (Amendment) Bill, 2022",POWER,03/08/2022,08/08/2022,12/12/2022
